"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02945V03560","ICD 10 Diagnostic Group","UNIT","VALUE"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","17","Development disorders","Number","13"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","18","Behavioural, emotional disorders of childhood and adolescence","Number","7"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","19","Other and unspecified","Number","617"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","-","Both sexes","21","All disorders","Number","3389"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","02","Organic mental disorders","Number","127"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","04","Schizophrenia, schizotypal and delusional disorders","Number","736"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","06","Depressive disorders","Number","204"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","07","Mania","Number","124"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","08","Neuroses","Number","24"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","10","Personality and behavioural disorders","Number","28"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","11","Alcoholic disorders","Number","115"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","13","Other drug disorders","Number","15"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","15","Eating disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","16","Intellectual disability","Number","167"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","17","Development disorders","Number","7"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","18","Behavioural, emotional disorders of childhood and adolescence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","19","Other and unspecified","Number","308"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","1","Male","21","All disorders","Number","1859"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","02","Organic mental disorders","Number","108"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","04","Schizophrenia, schizotypal and delusional disorders","Number","427"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","06","Depressive disorders","Number","288"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","07","Mania","Number","151"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","08","Neuroses","Number","34"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","10","Personality and behavioural disorders","Number","42"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","11","Alcoholic disorders","Number","49"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","13","Other drug disorders","Number","11"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","15","Eating disorders","Number","16"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","16","Intellectual disability","Number","84"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","17","Development disorders","Number","6"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","18","Behavioural, emotional disorders of childhood and adolescence","Number","5"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","19","Other and unspecified","Number","309"
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2006","2006","2","Female","21","All disorders","Number","1530"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","02","Organic mental disorders","Number","273"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","04","Schizophrenia, schizotypal and delusional disorders","Number","957"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","06","Depressive disorders","Number","481"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","07","Mania","Number","216"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","08","Neuroses","Number","98"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","10","Personality and behavioural disorders","Number","79"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","11","Alcoholic disorders","Number","98"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","13","Other drug disorders","Number","46"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","14","Mental handicap","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","15","Eating disorders","Number","20"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","16","Intellectual disability","Number","154"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","17","Development disorders","Number","11"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","18","Behavioural, emotional disorders of childhood and adolescence","Number","8"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","19","Other and unspecified","Number","371"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","20","Unspecified","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","-","Both sexes","21","All disorders","Number","2812"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","01","Organic category","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","02","Organic mental disorders","Number","155"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","03","Schizophrenia","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","04","Schizophrenia, schizotypal and delusional disorders","Number","606"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","05","Other psychoses","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","06","Depressive disorders","Number","183"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","07","Mania","Number","89"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","08","Neuroses","Number","38"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","09","Personality disorders","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","10","Personality and behavioural disorders","Number","26"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","11","Alcoholic disorders","Number","65"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","12","Drug dependence","Number",""
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","13","Other drug disorders","Number","33"
"HRA71C01","Psychiatric In-patients (Number)","2010","2010","1","Male","14","Mental handicap","Number",""
